annotation_id,feedback_id,analyst_alias,annotated_barrier_category,annotated_sentiment,annotation_status,annotation_note,annotated_at
MPS-A00001,MPS-F002664,analyst_03,prior_authorization,negative,needs_follow_up,Escalate for source review.,2026-05-31T16:00:00+00:00
MPS-A00002,MPS-F001070,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-21T16:00:00+00:00
MPS-A00003,MPS-F000400,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-06T16:00:00+00:00
MPS-A00004,MPS-F003880,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-02-14T16:00:00+00:00
MPS-A00005,MPS-F002107,analyst_03,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-06-08T16:00:00+00:00
MPS-A00006,MPS-F002482,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-29T16:00:00+00:00
MPS-A00007,MPS-F000355,analyst_04,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-24T16:00:00+00:00
MPS-A00008,MPS-F002721,analyst_01,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-01-11T16:00:00+00:00
MPS-A00009,MPS-F001474,analyst_01,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-02-22T16:00:00+00:00
MPS-A00010,MPS-F003210,analyst_02,no_barrier,neutral,validated,Barrier and sentiment confirmed from source text.,2026-04-15T16:00:00+00:00
MPS-A00011,MPS-F002019,analyst_01,scheduling,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-16T16:00:00+00:00
MPS-A00012,MPS-F001937,analyst_04,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-13T16:00:00+00:00
MPS-A00013,MPS-F000662,analyst_04,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-09T16:00:00+00:00
MPS-A00014,MPS-F000596,analyst_02,payer_denial,negative,needs_follow_up,Escalate for source review.,2026-06-11T16:00:00+00:00
MPS-A00015,MPS-F000053,analyst_01,prior_authorization,negative,needs_follow_up,Escalate for source review.,2026-06-11T16:00:00+00:00
MPS-A00016,MPS-F002533,analyst_01,prior_authorization,neutral,validated,Barrier and sentiment confirmed from source text.,2026-02-23T16:00:00+00:00
MPS-A00017,MPS-F000724,analyst_04,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-06T16:00:00+00:00
MPS-A00018,MPS-F003662,analyst_02,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-13T16:00:00+00:00
MPS-A00019,MPS-F000558,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-15T16:00:00+00:00
MPS-A00020,MPS-F002213,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-14T16:00:00+00:00
MPS-A00021,MPS-F002356,analyst_04,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-07T16:00:00+00:00
MPS-A00022,MPS-F000449,analyst_03,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-08T16:00:00+00:00
MPS-A00023,MPS-F003454,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-20T16:00:00+00:00
MPS-A00024,MPS-F002254,analyst_04,no_barrier,neutral,validated,Barrier and sentiment confirmed from source text.,2026-03-26T16:00:00+00:00
MPS-A00025,MPS-F000398,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-24T16:00:00+00:00
MPS-A00026,MPS-F001060,analyst_02,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-19T16:00:00+00:00
MPS-A00027,MPS-F000197,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-22T16:00:00+00:00
MPS-A00028,MPS-F000097,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-22T16:00:00+00:00
MPS-A00029,MPS-F000437,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-06T16:00:00+00:00
MPS-A00030,MPS-F000534,analyst_01,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00031,MPS-F001905,analyst_02,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-24T16:00:00+00:00
MPS-A00032,MPS-F002654,analyst_04,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-13T16:00:00+00:00
MPS-A00033,MPS-F000704,analyst_01,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-05-13T16:00:00+00:00
MPS-A00034,MPS-F000354,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-15T16:00:00+00:00
MPS-A00035,MPS-F003651,analyst_02,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-04-17T16:00:00+00:00
MPS-A00036,MPS-F000151,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-03T16:00:00+00:00
MPS-A00037,MPS-F000473,analyst_03,prior_authorization,neutral,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00038,MPS-F000593,analyst_01,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-09T16:00:00+00:00
MPS-A00039,MPS-F003111,analyst_03,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-22T16:00:00+00:00
MPS-A00040,MPS-F002749,analyst_02,scheduling,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-04T16:00:00+00:00
MPS-A00041,MPS-F000754,analyst_03,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-08T16:00:00+00:00
MPS-A00042,MPS-F003360,analyst_04,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-02-18T16:00:00+00:00
MPS-A00043,MPS-F000390,analyst_02,prior_authorization,neutral,validated,Barrier and sentiment confirmed from source text.,2026-06-27T16:00:00+00:00
MPS-A00044,MPS-F000799,analyst_01,specialty_pharmacy_delay,neutral,validated,Barrier and sentiment confirmed from source text.,2026-05-28T16:00:00+00:00
MPS-A00045,MPS-F002491,analyst_02,specialty_pharmacy_delay,negative,needs_follow_up,Escalate for source review.,2026-02-12T16:00:00+00:00
MPS-A00046,MPS-F003588,analyst_02,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-03-27T16:00:00+00:00
MPS-A00047,MPS-F000732,analyst_03,specialty_pharmacy_delay,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-11T16:00:00+00:00
MPS-A00048,MPS-F002273,analyst_04,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-09T16:00:00+00:00
MPS-A00049,MPS-F000434,analyst_04,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-05-10T16:00:00+00:00
MPS-A00050,MPS-F001422,analyst_01,payer_denial,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-18T16:00:00+00:00
MPS-A00051,MPS-F002818,analyst_02,step_therapy,negative,validated,Barrier and sentiment confirmed from source text.,2026-04-25T16:00:00+00:00
MPS-A00052,MPS-F000573,analyst_03,prior_authorization,neutral,validated,Barrier and sentiment confirmed from source text.,2026-06-11T16:00:00+00:00
MPS-A00053,MPS-F000462,analyst_01,prior_authorization,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-02T16:00:00+00:00
MPS-A00054,MPS-F000629,analyst_03,out_of_pocket_cost,negative,validated,Barrier and sentiment confirmed from source text.,2026-06-17T16:00:00+00:00
MPS-A00055,MPS-F000658,analyst_01,no_barrier,positive,validated,Barrier and sentiment confirmed from source text.,2026-06-10T16:00:00+00:00
